participant_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,TOTAL_x,pre_total,P1,P2,P3i,P3ii,P4,P5,TOTAL_y,post_total,gain,normalized_gain,_pre_rank,pre_quartile
P107,1,1,1,0,0,0,0,1,1,1,6,6,0.5,2.0,0,0.0,2.0,2.5,7.0,7.0,1.0,0.25,117.0,Q4
P108,0,0,1,0,1,0,0,1,1,0,4,4,1.0,1.0,1,1.0,1.5,1.5,7.0,7.0,3.0,0.5,62.0,Q2
P109,1,0,0,0,0,1,1,0,0,1,4,4,1.0,2.0,1,1.0,2.0,2.5,9.5,9.5,5.5,0.9166666666666666,63.0,Q2
P110,1,1,0,0,1,0,0,0,1,1,5,5,1.0,0.0,0,0.0,1.5,2.0,4.5,4.5,-0.5,-0.1,93.0,Q3
P111,1,0,0,1,0,1,1,1,1,1,7,7,1.0,2.0,1,1.0,2.0,2.5,9.5,9.5,2.5,0.8333333333333334,137.0,Q4
P112,1,1,0,0,1,1,0,0,1,1,6,6,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0,4.0,1.0,118.0,Q4
P113,1,1,1,1,1,0,0,0,1,1,7,7,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0,3.0,1.0,138.0,Q4
P114,0,0,1,0,0,1,0,1,0,0,3,3,1.0,2.0,1,1.0,1.5,2.5,9.0,9.0,6.0,0.8571428571428571,30.0,Q1
P115,0,0,0,1,0,0,1,1,1,1,5,5,1.0,0.0,1,1.0,1.5,3.0,7.5,7.5,2.5,0.5,94.0,Q3
P116,1,1,0,1,0,1,1,1,0,1,7,7,0.5,2.0,1,1.0,2.0,2.0,8.5,8.5,1.5,0.5,139.0,Q4
P117,1,1,0,1,0,1,0,1,1,1,7,7,1.0,1.5,1,1.0,1.5,2.5,8.5,8.5,1.5,0.5,140.0,Q4
P118,1,1,0,0,0,0,1,1,1,1,6,6,0.0,2.0,1,0.0,2.0,2.5,7.5,7.5,1.5,0.375,119.0,Q4
P119,0,1,0,1,0,0,0,1,0,1,4,4,1.0,1.5,1,1.0,2.0,3.0,9.5,9.5,5.5,0.9166666666666666,64.0,Q2
P120,0,1,0,1,0,0,0,1,1,1,5,5,1.0,2.0,0,0.0,2.0,2.5,7.5,7.5,2.5,0.5,95.0,Q3
P121,0,0,0,1,1,0,0,0,0,1,3,3,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0,7.0,1.0,31.0,Q1
P122,1,1,0,0,1,0,0,0,0,0,3,3,1.0,0.0,0,0.0,2.0,3.0,6.0,6.0,3.0,0.42857142857142855,32.0,Q1
P123,0,1,0,0,1,1,1,1,1,1,7,7,1.0,2.0,1,1.0,1.5,2.5,9.0,9.0,2.0,0.6666666666666666,141.0,Q4
P124,0,0,1,0,1,0,0,1,1,1,5,5,0.5,2.0,1,1.0,1.5,3.0,9.0,9.0,4.0,0.8,96.0,Q3
P125,1,0,0,1,0,0,0,0,1,1,4,4,1.0,2.0,1,0.0,2.0,2.5,8.5,8.5,4.5,0.75,65.0,Q2
P126,1,1,0,0,0,0,1,0,1,1,5,5,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5,3.5,0.7,97.0,Q3
P127,0,0,1,1,0,1,0,0,0,0,3,3,1.0,2.0,1,1.0,2.0,2.0,9.0,9.0,6.0,0.8571428571428571,33.0,Q1
P128,0,0,0,1,0,0,1,0,1,1,4,4,1.0,2.0,0,0.0,1.5,3.0,7.5,7.5,3.5,0.5833333333333334,66.0,Q2
P129,0,0,0,1,0,1,0,0,1,1,4,4,1.0,1.5,1,1.0,2.0,3.0,9.5,9.5,5.5,0.9166666666666666,67.0,Q2
P130,1,1,1,0,0,1,0,0,1,1,6,6,1.0,2.0,0,0.0,2.0,2.5,7.5,7.5,1.5,0.375,120.0,Q4
P131,0,0,0,0,0,0,0,0,1,1,2,2,1.0,1.5,1,1.0,1.5,3.0,9.0,9.0,7.0,0.875,10.0,Q1
P132,1,1,0,1,0,1,1,0,1,1,7,7,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5,1.5,0.5,142.0,Q4
